province,date,tempMax,tempMin,tempAvg,precipitation,humidity,source,year,month,day
"bangkok","2020-03-08",36.30,26.00,31.15,0.00,65.28,"open-meteo",2020,03,08
"bangkok","2020-03-09",37.50,24.50,31.00,0.00,65.50,"open-meteo",2020,03,09
"bangkok","2020-03-10",35.30,25.90,30.60,0.00,66.10,"open-meteo",2020,03,10
"bangkok","2020-03-11",35.70,25.00,30.35,0.00,66.47,"open-meteo",2020,03,11
"bangkok","2020-03-12",34.80,26.90,30.85,0.00,65.73,"open-meteo",2020,03,12
"bangkok","2020-03-13",35.00,27.40,31.20,0.00,65.20,"open-meteo",2020,03,13
"bangkok","2020-03-14",35.50,27.60,31.55,0.30,65.58,"open-meteo",2020,03,14
"bangkok","2020-03-15",31.40,26.00,28.70,7.80,83.95,"open-meteo",2020,03,15
"bangkok","2020-03-16",32.50,24.60,28.55,0.30,70.08,"open-meteo",2020,03,16
"bangkok","2020-03-17",32.00,26.40,29.20,0.80,70.60,"open-meteo",2020,03,17
"bangkok","2020-03-18",33.70,27.10,30.40,0.10,66.70,"open-meteo",2020,03,18
"bangkok","2020-03-19",32.50,27.60,30.05,1.10,70.22,"open-meteo",2020,03,19
"bangkok","2020-03-20",33.80,27.40,30.60,0.40,67.30,"open-meteo",2020,03,20
"bangkok","2020-03-21",33.20,27.30,30.25,0.00,66.63,"open-meteo",2020,03,21
"bangkok","2020-03-22",34.00,27.00,30.50,1.30,70.15,"open-meteo",2020,03,22
"bangkok","2020-03-23",34.20,27.30,30.75,0.20,66.47,"open-meteo",2020,03,23
"bangkok","2020-03-24",34.60,27.00,30.80,0.00,65.80,"open-meteo",2020,03,24
"bangkok","2020-03-25",33.80,26.90,30.35,0.20,67.08,"open-meteo",2020,03,25
"bangkok","2020-03-26",34.50,26.00,30.25,0.00,66.63,"open-meteo",2020,03,26
"bangkok","2020-03-27",35.70,27.00,31.35,0.00,64.97,"open-meteo",2020,03,27
"bangkok","2020-03-28",35.30,27.50,31.40,0.20,65.50,"open-meteo",2020,03,28
"bangkok","2020-03-29",34.10,27.50,30.80,0.40,67.00,"open-meteo",2020,03,29
"bangkok","2020-03-30",35.00,26.90,30.95,0.10,65.88,"open-meteo",2020,03,30
"bangkok","2020-03-31",35.50,27.60,31.55,0.00,64.67,"open-meteo",2020,03,31
"bangkok","2020-04-01",35.00,27.20,31.10,0.00,65.35,"open-meteo",2020,04,01
"bangkok","2020-04-02",34.50,28.10,31.30,0.80,67.45,"open-meteo",2020,04,02
"bangkok","2020-04-03",35.20,27.60,31.40,0.00,64.90,"open-meteo",2020,04,03
"bangkok","2020-04-04",35.30,27.40,31.35,0.10,65.28,"open-meteo",2020,04,04
"bangkok","2020-04-05",34.80,28.00,31.40,0.10,65.20,"open-meteo",2020,04,05
"bangkok","2020-04-06",35.00,28.20,31.60,0.00,64.60,"open-meteo",2020,04,06
"bangkok","2020-04-07",33.80,28.00,30.90,0.60,67.45,"open-meteo",2020,04,07
"bangkok","2020-04-08",33.00,28.40,30.70,0.70,68.05,"open-meteo",2020,04,08
"bangkok","2020-04-09",34.00,28.00,31.00,0.10,65.80,"open-meteo",2020,04,09
"bangkok","2020-04-10",33.50,27.80,30.65,0.20,66.63,"open-meteo",2020,04,10
"bangkok","2020-04-11",34.80,27.70,31.25,0.30,66.03,"open-meteo",2020,04,11
"bangkok","2020-04-12",35.00,28.00,31.50,0.10,65.05,"open-meteo",2020,04,12
"bangkok","2020-04-13",30.70,25.70,28.20,16.80,84.70,"open-meteo",2020,04,13
"bangkok","2020-04-14",31.70,25.20,28.45,2.30,76.23,"open-meteo",2020,04,14
"bangkok","2020-04-15",33.80,25.30,29.55,2.90,76.38,"open-meteo",2020,04,15
"bangkok","2020-04-16",32.70,27.40,30.05,1.00,69.92,"open-meteo",2020,04,16
"bangkok","2020-04-17",32.10,27.70,29.90,2.70,75.25,"open-meteo",2020,04,17
"bangkok","2020-04-18",33.00,26.60,29.80,0.00,67.30,"open-meteo",2020,04,18
"bangkok","2020-04-19",34.20,27.60,30.90,0.30,66.55,"open-meteo",2020,04,19
"bangkok","2020-04-20",35.80,26.90,31.35,0.00,64.98,"open-meteo",2020,04,20
"bangkok","2020-04-21",36.20,27.10,31.65,0.00,64.52,"open-meteo",2020,04,21
"bangkok","2020-04-22",36.60,28.50,32.55,0.00,63.18,"open-meteo",2020,04,22
"bangkok","2020-04-23",35.60,26.50,31.05,4.60,79.22,"open-meteo",2020,04,23
